MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,kitchen_features,fireplaces,floor_covering,HOA
3051343,544000.0,85622,-111.00419,31.835595,1.0,3275.0,1985,3,3.0,3512.0,2.0,9,2.0,2,45.0
21832887,575359.5,85641,-110.687945,32.081978,1.07,625.0,2019,5,36.0,3720.0,3.0,8,1.0,2,45.0
21716637,555411.0,85755,-110.984875,32.451048,0.26,900.22,2017,4,4.0,3679.0,3.0,5,0.0,2,45.0
21403810,560000.0,85739,-110.861093,32.534377,0.2,3785.0,2003,3,4.0,2670.0,3.0,5,1.0,2,45.0
21415102,565000.0,85755,-110.989464,32.45798,0.19,4575.26,2001,2,3.0,2549.0,3.0,5,1.0,2,45.0
21400344,645400.0,85737,-110.965254,32.40817,0.38,2334.0,2014,3,3.0,2700.0,2.0,4,0.0,2,45.0
21414149,550000.0,85658,-111.074224,32.4315,0.22,5238.02,2006,4,3.0,2680.0,3.0,6,0.0,2,45.0
21424127,549750.0,85719,-110.954361,32.260253,0.23,3581.08,2008,3,3.0,2297.0,2.0,4,0.0,1,45.0
21423017,547500.0,85623,-110.924793,32.584389,0.28,2628.1,2011,3,3.0,2905.0,3.0,5,1.0,3,45.0
21404009,540000.0,85614,-110.970465,31.837729,2.08,5077.95,2007,4,3.0,2944.0,3.0,5,2.0,2,45.0
21432872,545000.0,85718,-110.89563,32.288857,1.0,4552.18,1981,4,3.0,2821.0,2.0,4,1.0,2,45.0
21315124,535000.0,85755,-110.979852,32.455813,0.45,6229.78,2002,3,3.0,3019.0,3.0,5,1.0,3,45.0
21507627,565000.0,85750,-110.868461,32.322464,0.57,5038.0,1999,4,3.0,2607.0,3.0,5,1.0,3,45.0
21422505,560000.0,85747,-110.733313,32.138784,1.61,2983.76,2006,5,4.0,4640.0,3.0,5,2.0,2,45.0
21510774,546812.0,85755,-110.979114,32.435518,0.27,5132.56,2002,4,3.0,3263.0,3.0,5,2.0,2,45.0
21507953,555000.0,85718,-110.940215,32.3318,1.1,4362.38,1983,3,3.0,3069.0,2.0,5,2.0,2,45.0
21502026,545000.0,85755,-110.989607,32.453815,0.24,3991.08,2007,4,4.0,3076.0,3.0,5,2.0,2,45.0
21505582,520000.0,85745,-111.074671,32.235121,0.89,4769.37,1995,3,3.0,2261.0,3.0,3,2.0,2,45.0
21526202,535000.0,85742,-111.024347,32.376686,1.04,4763.0,1993,4,4.0,3817.0,3.0,5,2.0,2,45.0
21527958,537000.0,85739,-110.861406,32.546813,0.32,3515.18,2005,2,3.0,2578.0,3.0,5,1.0,1,45.0
21610310,550000.0,85719,-110.941939,32.242981,0.48,2445.49,1954,3,3.0,2169.0,0.0,4,1.0,1,45.0
21607742,560000.0,85718,-110.93658,32.314345,1.08,3568.2,1961,4,4.0,2743.0,2.0,4,1.0,2,45.0
21611094,565000.0,85711,-110.902102,32.230035,0.8,5010.0,1977,5,4.0,4103.0,6.0,4,1.0,2,45.0
21616660,535000.0,85749,-110.787663,32.260832,4.17,5471.22,1986,3,3.0,3228.0,3.0,5,1.0,1,45.0
21624894,535000.0,85749,-110.729206,32.261055,1.0,4618.69,1996,4,3.0,3324.0,3.0,5,2.0,2,45.0
21627717,560000.0,85749,-110.794005,32.253351,0.59,5947.0,1998,5,4.0,3672.0,3.0,5,1.0,1,45.0
21527684,550000.0,85739,-110.861405,32.546512,0.32,4117.1,2005,3,4.0,2928.0,3.0,5,1.0,2,45.0
21533331,510000.0,85646,-111.092026,31.582541,7.0,4235.3,1995,3,3.0,3256.0,2.0,6,2.0,2,45.0
21701604,545000.0,85750,-110.873542,32.277189,0.44,5073.12,1991,4,3.0,3341.0,3.0,5,1.0,3,45.0
21703212,560000.0,85718,-110.947516,32.309345,0.77,6309.58,1987,4,3.0,3134.0,2.0,5,3.0,3,45.0
